disease_name,definition,lab_test,lab_patterns,complications,monitoring
Diabetes Type 2,A chronic metabolic disorder characterized by insulin resistance and relative insulin deficiency resulting in hyperglycemia,HbA1c,"{'normal': '<5.7%', 'prediabetic': '5.7-6.4%', 'diabetic': '>=6.5%', 'target': '<7.0%'}","Diabetic nephropathy,Diabetic retinopathy,Cardiovascular disease,Neuropathy,Foot ulcers","HbA1c every 3-6 months,Annual eye exam,Annual foot exam,Lipid panel annually,Kidney function tests"
Diabetes Type 2,A chronic metabolic disorder characterized by insulin resistance and relative insulin deficiency resulting in hyperglycemia,Fasting glucose,"{'normal': '<100 mg/dL', 'prediabetic': '100-125 mg/dL', 'diabetic': '>=126 mg/dL', 'target': '80-130 mg/dL'}","Diabetic nephropathy,Diabetic retinopathy,Cardiovascular disease,Neuropathy,Foot ulcers","Blood glucose monitoring,HbA1c every 3-6 months,Annual eye exam,Lipid panel annually"
Diabetes Type 2,A chronic metabolic disorder characterized by insulin resistance and relative insulin deficiency resulting in hyperglycemia,Creatinine,"{'normal': '0.6-1.2 mg/dL', 'mild_impairment': '1.3-1.9 mg/dL', 'moderate_impairment': '2.0-2.9 mg/dL', 'severe_impairment': '>=3.0 mg/dL'}","Chronic kidney disease,End-stage renal disease,Cardiovascular disease","Annual kidney function tests,Urine microalbumin,Blood pressure monitoring"
Diabetes Type 2,A chronic metabolic disorder characterized by insulin resistance and relative insulin deficiency resulting in hyperglycemia,Microalbumin,"{'normal': '<30 mg/g', 'microalbuminuria': '30-300 mg/g', 'macroalbuminuria': '>300 mg/g'}","Diabetic nephropathy,Chronic kidney disease,Cardiovascular disease","Annual microalbumin screening,ACE inhibitor therapy monitoring,Blood pressure control"
Diabetes Type 2,A chronic metabolic disorder characterized by insulin resistance and relative insulin deficiency resulting in hyperglycemia,Lipid panel,"{'total_cholesterol_target': '<200 mg/dL', 'ldl_target': '<100 mg/dL', 'hdl_male': '>40 mg/dL', 'hdl_female': '>50 mg/dL', 'triglycerides': '<150 mg/dL'}","Cardiovascular disease,Stroke,Peripheral artery disease","Annual lipid screening,Statin therapy monitoring,Cardiovascular risk assessment"
Hypertension,A chronic condition characterized by persistently elevated blood pressure that increases cardiovascular risk,Blood pressure,"{'normal': '<120/80 mmHg', 'elevated': '120-129/<80 mmHg', 'stage1': '130-139/80-89 mmHg', 'stage2': '>=140/90 mmHg', 'crisis': '>=180/120 mmHg'}","Stroke,Heart attack,Heart failure,Kidney disease,Peripheral artery disease","Regular blood pressure monitoring,Annual cardiovascular assessment,Kidney function tests"
Hypertension,A chronic condition characterized by persistently elevated blood pressure that increases cardiovascular risk,Creatinine,"{'normal': '0.6-1.2 mg/dL', 'mild_elevation': '1.3-1.9 mg/dL', 'moderate_elevation': '2.0-2.9 mg/dL', 'severe_elevation': '>=3.0 mg/dL'}","Chronic kidney disease,End-stage renal disease,Cardiovascular complications","Annual kidney function assessment,Electrolyte monitoring,ACE inhibitor monitoring"
Hypertension,A chronic condition characterized by persistently elevated blood pressure that increases cardiovascular risk,Potassium,"{'normal': '3.5-5.0 mEq/L', 'low': '<3.5 mEq/L', 'high': '>5.0 mEq/L', 'dangerous_high': '>6.0 mEq/L'}","Cardiac arrhythmias,Muscle weakness,Kidney dysfunction","Regular electrolyte monitoring,Diuretic therapy monitoring,ACE inhibitor monitoring"
Hypertension,A chronic condition characterized by persistently elevated blood pressure that increases cardiovascular risk,Sodium,"{'normal': '135-145 mEq/L', 'low': '<135 mEq/L', 'high': '>145 mEq/L'}","Fluid retention,Cardiac complications,Neurological symptoms","Electrolyte monitoring,Dietary sodium assessment,Medication compliance"
Coronary Artery Disease,A condition characterized by narrowing or blockage of coronary arteries due to atherosclerotic plaque buildup,Troponin I,"{'normal': '<0.04 ng/mL', 'elevated': '0.04-0.4 ng/mL', 'high': '>0.4 ng/mL', 'acute_mi': '>1.0 ng/mL'}","Myocardial infarction,Heart failure,Sudden cardiac death,Stroke","Serial troponin monitoring,ECG monitoring,Echocardiography,Stress testing"
Coronary Artery Disease,A condition characterized by narrowing or blockage of coronary arteries due to atherosclerotic plaque buildup,CK-MB,"{'normal': '<6.3 ng/mL', 'borderline': '6.3-25 ng/mL', 'elevated': '>25 ng/mL'}","Myocardial infarction,Cardiomyopathy,Heart failure","Cardiac enzyme monitoring,ECG surveillance,Cardiac catheterization"
Coronary Artery Disease,A condition characterized by narrowing or blockage of coronary arteries due to atherosclerotic plaque buildup,LDL cholesterol,"{'optimal': '<100 mg/dL', 'near_optimal': '100-129 mg/dL', 'borderline_high': '130-159 mg/dL', 'high': '160-189 mg/dL', 'very_high': '>=190 mg/dL'}","Myocardial infarction,Stroke,Peripheral artery disease","Lipid monitoring every 3-6 months,Statin therapy assessment,Cardiovascular risk stratification"
Coronary Artery Disease,A condition characterized by narrowing or blockage of coronary arteries due to atherosclerotic plaque buildup,HDL cholesterol,"{'low_male': '<40 mg/dL', 'low_female': '<50 mg/dL', 'optimal_male': '>=60 mg/dL', 'optimal_female': '>=60 mg/dL'}","Cardiovascular events,Stroke,Peripheral vascular disease","Annual lipid assessment,HDL-raising therapy monitoring,Lifestyle modification tracking"
